               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1073,            0.045131,            0.034683,          0.00073501,             0.03688,          0.00046937,          0.00012217,             0.10232,            0.036589,            0.028085,            0.070091,           0.0033233,           0.0033233
                   1,            0.096817,            0.043607,            0.024996,             0.45096,            0.036184,            0.026364,           0.0092584,            0.085876,            0.031754,            0.023575,            0.040058,           0.0066236,           0.0066236
                   2,            0.082938,            0.040425,            0.022477,             0.85775,            0.042177,            0.036472,             0.01209,            0.082402,            0.043314,            0.024276,           0.0099917,            0.009891,            0.009891
                   3,            0.072025,            0.036412,            0.020372,             0.81408,            0.080904,             0.10047,            0.039172,            0.069256,            0.038591,            0.020989,           0.0098515,           0.0098515,           0.0098515
                   4,            0.063835,            0.034115,            0.018287,             0.38191,             0.14868,             0.14598,            0.063105,            0.059927,            0.027542,            0.018365,           0.0098515,           0.0098515,           0.0098515
                   5,             0.05937,            0.033261,            0.016856,             0.41645,             0.19709,             0.17645,            0.085795,            0.055074,            0.024414,            0.016669,            0.009802,            0.009802,            0.009802
                   6,            0.056685,            0.031761,            0.015925,             0.41211,             0.26248,             0.23442,             0.11371,            0.050863,            0.022073,             0.01474,           0.0097525,           0.0097525,           0.0097525
                   7,            0.054818,            0.030919,            0.015279,             0.10655,            0.054369,            0.042502,            0.017599,            0.083238,            0.045431,            0.023802,            0.009703,            0.009703,            0.009703
                   8,            0.053441,            0.031221,            0.014818,              0.2817,              0.2313,             0.19403,             0.09494,            0.055294,            0.026656,            0.015821,           0.0096535,           0.0096535,           0.0096535
                   9,            0.051923,            0.029691,            0.013964,             0.38558,             0.28725,             0.26922,             0.13458,            0.048376,            0.022189,            0.014031,            0.009604,            0.009604,            0.009604
                  10,            0.050715,            0.029183,            0.013659,             0.36006,             0.30711,             0.28203,              0.1389,            0.047623,            0.021822,            0.013407,           0.0095545,           0.0095545,           0.0095545
                  11,            0.049835,            0.029156,            0.013034,             0.38289,             0.33559,             0.31464,             0.16159,            0.045824,            0.021029,            0.012981,            0.009505,            0.009505,            0.009505
                  12,            0.048978,             0.02899,            0.012632,             0.41282,             0.36458,             0.33745,             0.17235,            0.044707,            0.020293,            0.013522,           0.0094555,           0.0094555,           0.0094555
                  13,            0.048287,            0.028269,            0.012501,             0.41362,             0.27501,             0.28374,             0.14345,            0.048714,            0.023778,            0.014131,            0.009406,            0.009406,            0.009406
                  14,            0.047658,            0.028305,            0.011948,             0.47353,             0.38297,             0.37543,             0.19487,            0.042775,            0.019751,            0.011596,           0.0093565,           0.0093565,           0.0093565
                  15,            0.047478,            0.027854,            0.011931,             0.49717,             0.36782,             0.38447,             0.20786,            0.042057,            0.019901,            0.011065,            0.009307,            0.009307,            0.009307
                  16,            0.046893,            0.027864,            0.011371,             0.47454,             0.40088,              0.3927,             0.20662,            0.042295,            0.019423,            0.011286,           0.0092575,           0.0092575,           0.0092575
                  17,            0.046259,            0.027511,            0.011251,             0.46327,             0.38698,             0.38326,              0.2048,            0.042758,             0.01981,            0.011316,            0.009208,            0.009208,            0.009208
                  18,             0.04625,            0.027274,            0.010942,             0.52786,             0.38626,             0.40347,             0.21365,            0.041578,            0.019509,            0.010529,           0.0091585,           0.0091585,           0.0091585
                  19,            0.045532,              0.0272,             0.01078,               0.501,             0.37458,             0.39239,             0.21072,            0.042625,            0.020608,             0.01109,            0.009109,            0.009109,            0.009109
                  20,             0.04508,            0.027116,            0.010544,              0.5556,             0.41775,             0.44568,             0.24321,            0.040256,            0.018719,           0.0098807,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044879,            0.027089,            0.010475,              0.5488,             0.39593,              0.4131,             0.21598,             0.04204,            0.019377,            0.010804,             0.00901,             0.00901,             0.00901
                  22,             0.04462,            0.027392,            0.010325,             0.55071,             0.43558,             0.45823,             0.24613,            0.040559,            0.019066,           0.0097862,           0.0089605,           0.0089605,           0.0089605
                  23,            0.044316,             0.02698,            0.010075,             0.53816,             0.43386,             0.44734,             0.24073,             0.04027,            0.018932,            0.009913,            0.008911,            0.008911,            0.008911
                  24,            0.043875,            0.026303,            0.010047,             0.57761,             0.44084,              0.4682,             0.25779,            0.039828,            0.018551,           0.0093927,           0.0088615,           0.0088615,           0.0088615
                  25,            0.043531,            0.026353,           0.0094848,             0.61527,             0.45691,             0.49487,             0.27047,            0.038748,            0.018052,           0.0086814,            0.008812,            0.008812,            0.008812
                  26,            0.043237,            0.026453,           0.0095806,             0.59686,             0.47289,             0.49607,             0.27362,            0.038459,            0.018159,           0.0089075,           0.0087625,           0.0087625,           0.0087625
                  27,            0.043271,            0.026477,           0.0095026,             0.59714,             0.45683,             0.48598,             0.26582,             0.03837,            0.018143,           0.0090605,            0.008713,            0.008713,            0.008713
                  28,             0.04292,            0.026219,           0.0090736,             0.64165,             0.47256,             0.50925,             0.27846,            0.037873,             0.01791,           0.0083054,           0.0086635,           0.0086635,           0.0086635
