               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10578,            0.018474,                   0,            0.014277,            0.028037,           0.0030158,          0.00090885,            0.099078,            0.014767,                   0,            0.070163,           0.0033152,           0.0033152
                   1,            0.098114,            0.018776,                   0,            0.034341,            0.088266,           0.0070963,           0.0019719,            0.098437,            0.014393,                   0,            0.040097,           0.0065827,           0.0065827
                   2,            0.088052,            0.019635,                   0,             0.14728,             0.11734,            0.048346,            0.010813,            0.078026,            0.015515,                   0,           0.0099654,           0.0097842,           0.0097842
                   3,            0.073952,            0.020508,                   0,             0.20649,             0.20145,             0.10471,            0.031025,            0.063826,            0.015896,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066612,            0.018924,                   0,             0.32768,             0.34787,             0.27091,             0.08327,             0.05703,            0.014341,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.062905,            0.017118,                   0,             0.47055,             0.35826,             0.39384,             0.13482,            0.055262,            0.011534,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.058939,            0.016373,                   0,            0.061444,             0.15784,            0.017053,           0.0046775,            0.093751,            0.025625,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.056606,            0.015643,                   0,             0.55526,             0.27485,             0.31592,             0.10696,            0.057131,            0.011301,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053295,            0.015174,                   0,             0.40377,             0.37487,             0.36141,             0.14714,            0.050383,            0.012043,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.05148,            0.015009,                   0,             0.57555,             0.45898,             0.50007,             0.19757,            0.050008,            0.010186,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.05118,            0.014518,                   0,             0.71041,             0.66147,             0.71906,             0.31173,            0.042617,           0.0095261,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048821,            0.014028,                   0,              0.7754,             0.63136,             0.73915,             0.32349,            0.043128,           0.0087378,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.048085,            0.013476,                   0,             0.77196,             0.72586,             0.76977,             0.34402,            0.042334,           0.0084606,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.046656,            0.013447,                   0,             0.77573,             0.75286,             0.79542,             0.35935,            0.040364,           0.0087139,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04595,            0.013232,                   0,             0.66174,             0.51921,             0.58312,             0.25471,            0.047881,           0.0095068,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.04523,            0.013098,                   0,              0.5895,             0.57529,             0.62251,             0.27065,            0.043752,           0.0094131,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044853,             0.01329,                   0,             0.82464,             0.79109,             0.85703,             0.38942,            0.038401,           0.0080615,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043157,            0.012589,                   0,              0.8342,             0.75597,             0.82703,              0.3915,            0.039068,           0.0079242,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042697,            0.012707,                   0,             0.77485,             0.78621,             0.80163,             0.36122,            0.039541,           0.0079933,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.043147,            0.012568,                   0,             0.82315,             0.62617,             0.75835,             0.33908,            0.041437,           0.0083028,                   0,            0.008218,            0.008218,            0.008218
                  20,              0.0422,            0.012459,                   0,             0.85372,             0.80062,             0.86113,             0.40065,            0.038002,           0.0074644,                   0,            0.008119,            0.008119,            0.008119
